id,purpose,postCode,regionCode,dti,delinquency_2s,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,CreditLine
67,0,495.0,14,34.77,1,725,729,12,0,0.0,1859,18.6,39,0,0,6840
68,0,316.0,26,12.04,0,695,699,9,0,0.0,16196,47.4,16,0,0,4170
69,5,137.0,32,16.53,0,670,674,9,0,0.0,8923,61.5,12,1,0,1800
70,0,248.0,11,16.56,0,660,664,11,0,0.0,12128,47.9,18,0,0,6180
71,0,33.0,22,22.0,0,700,704,16,0,0.0,25383,63.0,27,1,0,5220
72,0,51.0,13,16.38,0,665,669,12,0,0.0,24737,85.5,23,0,0,7800
73,0,60.0,30,24.61,0,710,714,31,0,0.0,59690,40.7,62,0,0,8640
74,2,137.0,32,1.5,1,715,719,4,1,1.0,49172,82.0,19,0,0,11880
75,0,221.0,8,17.51,0,700,704,7,0,0.0,31839,78.4,11,0,0,9060
76,5,242.0,8,10.42,1,685,689,7,0,0.0,9398,63.9,23,0,0,3930
77,0,828.0,39,37.42,0,685,689,9,1,1.0,1797,11.7,27,0,0,11670
78,4,134.0,8,11.98,0,705,709,8,0,0.0,17250,58.1,27,0,0,5430
79,0,177.0,26,6.24,1,670,674,15,0,0.0,1039,7.8,22,0,0,5910
80,4,201.0,2,19.42,0,705,709,13,0,0.0,15105,55.1,38,0,0,4350
81,0,153.0,11,16.98,0,670,674,6,1,1.0,11115,60.4,9,1,0,4380
82,0,779.0,43,21.19,0,700,704,5,0,0.0,634,12.9,28,0,0,4800
83,0,276.0,20,21.32,3,675,679,9,0,0.0,5834,75.8,15,0,0,3870
84,0,537.0,19,14.88,0,740,744,6,0,0.0,3413,45.5,17,1,0,4200
85,0,157.0,8,6.5,0,695,699,13,0,0.0,8152,49.1,28,1,0,4230
86,0,648.0,13,16.86,0,720,724,14,0,0.0,26853,53.5,37,1,0,15360
87,4,627.0,43,18.04,0,690,694,26,0,0.0,4142,26.1,70,1,0,4650
88,2,141.0,13,3.37,0,690,694,9,0,0.0,3879,49.1,12,1,0,4020
89,4,255.0,9,16.9,0,680,684,10,0,0.0,23779,91.8,15,1,0,3480
90,0,143.0,8,7.67,0,680,684,6,0,0.0,3750,48.7,7,0,0,1920
91,0,495.0,14,21.41,1,685,689,10,0,0.0,14020,47.7,29,1,0,7980
92,0,408.0,14,15.36,0,700,704,8,0,0.0,15988,71.1,32,1,0,4680
93,0,463.0,48,28.31,0,680,684,13,0,0.0,21166,57.4,22,0,0,4560
94,4,243.0,13,23.5,0,725,729,20,0,0.0,40687,66.5,53,0,0,7470
95,0,775.0,16,16.38,0,665,669,12,0,0.0,10149,51.8,45,1,0,4080
96,4,264.0,30,13.19,0,775,779,13,0,0.0,17747,44.4,20,1,0,5910
97,4,63.0,14,7.99,0,680,684,10,0,0.0,8050,36.1,13,1,0,2100
98,0,138.0,0,23.08,0,680,684,8,0,0.0,5758,44.6,13,1,0,2160
99,8,387.0,19,6.97,0,770,774,7,0,0.0,5602,10.0,14,0,0,3930
100,4,241.0,7,11.49,0,700,704,7,0,0.0,12442,55.3,12,1,0,10530
101,0,432.0,10,19.34,0,685,689,12,0,0.0,28585,67.9,25,0,1,7890
102,5,166.0,8,3.73,0,755,759,8,0,0.0,28465,22.4,12,1,0,2640
103,0,480.0,8,12.83,0,695,699,16,0,0.0,13399,18.9,31,0,0,5790
104,0,126.0,38,37.15,0,735,739,14,0,0.0,18780,37.7,27,1,0,8640
105,4,652.0,0,13.89,0,675,679,6,0,0.0,3791,74.0,7,1,0,4830
106,0,335.0,8,20.83,0,685,689,18,0,0.0,25068,68.3,44,0,0,5220
107,4,120.0,21,17.17,0,665,669,9,0,0.0,4397,29.7,19,1,0,11460
108,2,40.0,11,1.59,0,665,669,14,0,0.0,3312,45.4,24,0,0,1890
109,0,307.0,14,25.91,1,670,674,15,2,0.0,13874,64.0,70,0,0,12090
110,0,129.0,30,22.22,1,685,689,7,0,0.0,17287,60.4,21,0,0,6390
111,4,0.0,0,3.79,0,680,684,3,0,0.0,6027,94.2,13,0,0,4800
112,0,467.0,5,23.62,0,730,734,25,0,0.0,23502,32.2,57,0,0,11280
113,5,641.0,13,28.2,0,695,699,8,0,0.0,2450,33.6,8,0,0,5550
114,0,740.0,20,17.91,0,680,684,9,0,0.0,7444,44.6,26,0,0,2490
115,0,112.0,23,34.61,0,735,739,9,0,0.0,22092,48.9,12,0,0,8610
116,0,80.0,21,17.88,1,735,739,9,0,0.0,5719,14.2,20,0,0,4200
117,0,63.0,14,6.03,0,765,769,5,0,0.0,9983,21.7,7,0,0,5400
118,2,189.0,9,28.36,0,705,709,10,0,0.0,40541,81.4,19,0,0,13110
119,0,441.0,9,14.58,0,670,674,8,0,0.0,14382,76.1,15,0,0,3600
120,2,143.0,8,2.13,0,725,729,11,0,0.0,2546,10.5,23,1,0,3510
121,2,238.0,22,8.42,0,715,719,13,1,1.0,29338,41.6,24,0,0,3150
122,4,114.0,13,32.88,0,695,699,15,0,0.0,34597,73.0,26,0,0,15600
123,0,113.0,22,6.61,1,675,679,8,0,0.0,17562,75.7,25,1,0,6420
124,0,180.0,32,13.77,0,690,694,7,0,0.0,9050,67.5,9,0,0,2640
125,4,208.0,28,18.4,0,675,679,6,0,0.0,11369,72.4,22,0,0,4980
126,2,147.0,26,11.38,0,770,774,7,0,0.0,1954,7.3,36,0,0,3660
127,4,535.0,17,18.44,0,690,694,9,0,0.0,18563,58.2,19,1,0,8160
128,0,62.0,13,8.87,0,730,734,5,0,0.0,25255,73.1,13,0,0,4710
129,3,290.0,18,4.3,0,715,719,8,0,0.0,9275,16.8,17,1,0,3180
130,4,134.0,8,16.83,0,710,714,14,0,0.0,8759,58.4,26,1,0,15090
131,0,683.0,48,33.24,0,670,674,18,0,0.0,21595,86.0,26,0,0,3660
132,4,164.0,20,29.26,0,710,714,19,0,0.0,42273,56.8,40,0,0,12180
133,5,390.0,13,36.34,3,690,694,18,0,0.0,5116,54.4,29,0,0,5250
134,0,760.0,13,24.64,5,660,664,9,1,1.0,4748,51.6,32,0,0,4980
135,0,412.0,13,19.03,0,670,674,12,0,0.0,16073,91.8,15,0,0,3840
136,0,271.0,35,16.98,0,755,759,11,0,0.0,5792,21.1,24,0,0,4860
137,0,186.0,9,8.36,0,685,689,10,0,0.0,22586,55.1,38,1,0,5550
138,4,389.0,8,18.15,0,725,729,4,0,0.0,0,0.0,15,0,0,7860
139,0,196.0,14,22.39,0,665,669,14,1,0.0,10946,71.1,26,0,0,7320
140,4,33.0,22,24.84,0,700,704,8,0,0.0,88199,63.2,18,0,0,3900
141,0,372.0,30,15.51,5,670,674,11,0,0.0,5557,37.0,18,0,0,2370
142,0,234.0,42,21.82,0,705,709,8,0,0.0,17128,83.6,18,0,0,4260
143,0,230.0,2,30.58,0,670,674,16,1,1.0,17756,57.3,46,1,0,9750
144,0,43.0,19,10.24,0,690,694,6,1,1.0,8110,92.2,15,0,0,6510
145,0,313.0,43,7.61,0,660,664,8,0,0.0,2894,25.4,23,1,0,4740
146,0,253.0,21,21.23,0,660,664,10,0,0.0,16924,86.8,28,1,0,4770
147,1,224.0,3,19.24,1,660,664,8,0,0.0,1291,56.1,32,1,0,6030
148,2,36.0,13,8.27,0,735,739,11,1,1.0,2329,6.9,16,0,0,11460
149,0,116.0,14,17.09,0,660,664,8,1,1.0,7549,77.0,13,1,0,7470
150,0,290.0,18,9.04,0,675,679,16,0,0.0,4880,92.1,21,0,0,3150
151,0,418.0,45,23.04,1,660,664,12,1,1.0,12134,65.6,25,0,0,5280
152,6,331.0,8,14.75,0,740,744,21,1,1.0,6533,5.8,26,0,0,2850
153,0,16.0,5,20.7,0,680,684,19,0,0.0,40175,79.6,42,0,0,7530
154,4,422.0,30,15.36,2,670,674,16,0,0.0,30232,67.3,29,1,0,7500
155,4,2.0,2,11.81,0,745,749,10,0,0.0,24046,31.8,30,0,0,3870
156,0,514.0,13,9.01,2,665,669,6,0,0.0,11700,37.0,11,1,0,4230
157,4,155.0,0,11.93,0,675,679,10,0,0.0,6694,57.7,12,1,0,3180
158,0,451.0,36,15.85,0,660,664,13,0,0.0,19697,90.4,22,1,0,2910
159,4,473.0,8,23.42,0,700,704,22,0,0.0,86264,84.0,35,0,0,12240
160,0,690.0,2,13.7,0,670,674,11,0,0.0,7929,74.8,21,0,0,9930
161,1,643.0,45,7.47,0,695,699,11,0,0.0,3911,26.8,22,1,0,2970
162,0,209.0,21,5.51,0,665,669,14,1,1.0,2846,14.6,32,1,0,4290
163,0,33.0,22,23.45,1,670,674,13,0,0.0,8773,68.0,19,0,0,3810
164,2,337.0,14,7.14,0,755,759,5,0,0.0,16934,49.5,11,1,0,7800
165,0,209.0,21,22.69,1,660,664,15,0,0.0,10368,87.0,16,0,0,6000
166,0,271.0,35,9.76,0,775,779,5,0,0.0,4938,24.9,14,0,0,3960
167,0,599.0,13,15.31,1,675,679,42,0,0.0,44777,62.7,52,1,0,6360
168,0,31.0,2,7.07,2,710,714,16,1,0.0,209338,54.3,38,0,0,14610
169,2,237.0,32,3.46,0,715,719,10,0,0.0,5974,16.6,19,0,0,6660
170,0,36.0,13,21.89,0,735,739,10,2,1.0,12671,29.8,16,0,0,6210
171,4,200.0,22,26.33,0,670,674,18,0,0.0,22932,72.1,31,1,0,3930
172,0,160.0,4,29.47,0,675,679,18,0,0.0,18537,46.0,26,0,0,4170
173,0,134.0,8,23.22,1,685,689,14,0,0.0,6764,43.4,24,0,0,3030
174,0,418.0,45,20.16,0,685,689,19,1,1.0,8662,46.3,43,1,0,7290
175,4,519.0,9,11.51,0,740,744,6,0,0.0,15831,85.6,17,0,0,7770
176,4,677.0,13,27.71,1,670,674,20,0,0.0,12007,65.0,22,1,0,2160
177,0,523.0,13,33.22,0,685,689,15,0,0.0,31117,72.7,30,0,0,7050
178,9,120.0,21,5.21,1,705,709,7,0,0.0,9322,39.2,15,1,0,1500
179,0,9.0,7,17.28,0,660,664,16,0,0.0,16578,92.6,37,1,0,3300
180,0,25.0,13,32.67,0,695,699,9,0,0.0,18167,57.5,20,0,0,5370
181,0,24.0,17,12.46,0,670,674,18,0,0.0,8427,69.6,31,1,0,3510
182,4,431.0,20,20.55,0,690,694,17,0,0.0,13979,52.2,29,1,0,3330
183,4,107.0,30,24.72,0,710,714,10,0,0.0,13164,77.9,25,0,0,3390
184,0,186.0,9,25.33,0,705,709,12,0,0.0,38639,75.5,24,0,0,12330
185,0,230.0,2,17.4,0,680,684,10,0,0.0,8753,26.8,13,0,0,3480
186,0,66.0,14,23.37,0,675,679,21,0,0.0,18363,64.6,33,0,0,3540
187,4,81.0,15,19.86,0,660,664,7,0,0.0,12334,87.5,8,0,0,1470
188,2,153.0,11,26.97,0,680,684,13,0,0.0,14330,48.1,33,0,0,4170
189,0,416.0,19,26.5,3,670,674,9,0,0.0,12607,97.0,57,0,0,6210
190,0,131.0,6,15.76,0,670,674,17,0,0.0,25341,86.2,44,1,0,5910
191,0,111.0,8,17.56,0,690,694,9,0,0.0,37156,86.6,26,0,0,6900
192,4,56.0,8,14.46,0,745,749,9,0,0.0,4948,90.0,21,1,0,3240
193,4,43.0,19,21.33,0,665,669,9,1,1.0,6950,59.9,12,1,0,7470
194,4,185.0,3,9.15,0,680,684,3,0,0.0,6399,33.2,9,0,0,5520
195,0,100.0,4,15.4,0,710,714,4,0,0.0,41321,81.8,12,1,0,9960
196,4,302.0,30,23.67,13,670,674,13,1,1.0,8188,65.0,51,1,0,9540
197,4,342.0,21,2.41,0,695,699,6,0,0.0,7707,64.2,10,1,0,4230
198,4,146.0,23,11.27,0,685,689,7,0,0.0,16281,72.0,10,0,0,8460
199,4,27.0,12,37.29,0,675,679,14,0,0.0,19245,72.1,23,0,0,6630
200,0,377.0,11,24.45,0,725,729,9,0,0.0,23184,91.3,25,0,0,4950
201,0,43.0,19,24.08,0,680,684,14,0,0.0,10740,47.3,22,0,0,3990
202,0,304.0,8,31.08,0,690,694,10,0,0.0,12788,58.1,27,1,0,5220
203,0,245.0,26,28.4,0,680,684,4,0,0.0,1953,47.6,19,0,0,8010
204,4,203.0,30,21.21,0,670,674,17,0,0.0,57322,84.4,29,1,0,11460
205,0,484.0,21,14.04,2,735,739,7,0,0.0,1385,0.0,25,1,0,7680
206,0,62.0,13,30.05,0,660,664,7,0,0.0,3277,52.9,10,1,0,6150
207,8,601.0,44,16.98,2,725,729,10,0,0.0,4035,26.2,30,0,0,8340
208,2,56.0,8,34.6,0,720,724,10,0,0.0,20725,37.1,23,0,0,5610
209,0,66.0,14,8.04,0,760,764,10,0,0.0,16414,62.2,21,0,0,5730
210,0,401.0,24,19.97,0,710,714,13,0,0.0,2741,19.6,44,1,0,3570
211,0,141.0,13,23.51,0,670,674,11,0,0.0,5335,27.9,20,0,0,4020
212,0,424.0,24,29.46,0,680,684,21,0,0.0,47751,74.6,57,1,0,6540
213,4,39.0,24,31.39,0,725,729,6,0,0.0,39655,82.5,14,1,0,7890
214,0,127.0,13,15.51,0,695,699,13,0,0.0,11275,86.7,31,0,0,5130
215,0,228.0,24,12.69,0,710,714,11,1,1.0,6453,33.6,24,1,0,11250
216,9,696.0,15,32.31,0,675,679,11,0,0.0,17515,37.5,51,0,0,4650
217,0,76.0,26,29.85,0,675,679,18,1,0.0,24762,69.4,38,0,0,5370
218,5,48.0,10,25.75,0,715,719,10,0,0.0,8761,47.1,16,1,0,2130
219,0,299.0,0,14.05,0,735,739,14,0,0.0,11124,41.5,20,1,0,6810
220,0,19.0,14,8.73,0,670,674,9,1,1.0,7097,37.7,27,1,0,3600
221,0,25.0,13,6.72,0,680,684,15,1,1.0,7933,15.5,22,0,0,4440
222,0,512.0,21,13.89,0,670,674,10,1,1.0,5506,59.2,28,1,0,9660
223,0,275.0,8,18.79,0,660,664,15,1,1.0,14230,78.0,35,0,0,7470
224,0,197.0,4,13.64,0,705,709,12,0,0.0,24410,52.2,36,1,0,9720
225,8,275.0,8,29.03,0,705,709,8,0,0.0,24373,57.1,9,1,0,7830
226,4,83.0,15,4.53,0,715,719,11,0,0.0,7660,75.1,21,0,0,9270
227,4,505.0,10,14.48,0,670,674,4,0,0.0,5019,77.2,9,1,0,1260
228,4,390.0,13,19.02,3,670,674,16,0,0.0,22988,79.5,38,1,0,6210
229,0,282.0,7,33.66,0,665,669,13,1,1.0,4243,43.7,24,1,0,4380
230,0,403.0,38,29.85,0,660,664,3,0,0.0,17633,98.0,8,1,0,3150
231,5,258.0,8,18.74,0,750,754,8,0,0.0,11846,50.2,20,0,0,7320
232,0,277.0,8,19.24,1,675,679,13,0,0.0,16400,72.6,18,1,0,5400
233,10,729.0,14,20.84,0,750,754,14,0,0.0,10884,21.1,38,0,0,4440
234,5,271.0,35,6.32,0,670,674,9,0,0.0,12188,84.1,34,1,0,7770
235,0,242.0,8,3.58,0,670,674,2,0,0.0,7142,92.8,4,0,0,3060
236,2,123.0,12,17.84,0,680,684,12,0,0.0,20512,99.6,37,0,0,6450
237,10,74.0,30,24.1,1,665,669,9,1,0.0,2923,31.8,32,1,0,8670
238,0,89.0,3,26.25,0,720,724,4,0,0.0,3099,93.9,11,0,0,3720
239,0,472.0,3,17.28,1,660,664,8,0,0.0,3980,84.7,33,1,0,3630
240,0,134.0,8,14.47,0,700,704,7,0,0.0,15167,75.8,10,0,0,3750
241,0,38.0,21,11.92,0,675,679,14,0,0.0,6201,22.2,23,1,0,7920
242,4,143.0,8,10.65,1,675,679,4,0,0.0,5526,69.1,5,0,0,1830
243,4,434.0,2,10.84,0,670,674,8,0,0.0,25711,92.5,21,1,0,6330
244,2,247.0,32,11.0,2,675,679,12,0,0.0,6639,59.8,26,0,0,3630
245,0,123.0,12,16.43,0,660,664,10,0,0.0,10976,57.8,24,0,1,4140
246,5,560.0,44,35.64,2,685,689,13,0,0.0,2938,42.6,16,1,0,2100
247,5,19.0,14,16.13,0,685,689,20,0,0.0,14314,36.9,26,1,0,3300
248,4,31.0,2,25.61,0,660,664,5,0,0.0,39855,80.0,11,1,0,2640
249,0,476.0,5,27.8,0,665,669,5,0,0.0,1728,69.1,7,0,0,1290
250,0,136.0,8,9.11,0,770,774,12,0,0.0,16565,23.2,42,0,0,5460
251,4,335.0,8,16.47,0,665,669,16,0,0.0,24543,84.6,19,1,0,8670
252,7,97.0,12,21.28,0,675,679,9,0,0.0,16919,43.9,22,0,0,3630
253,5,718.0,19,26.69,0,675,679,9,0,0.0,1928,37.1,12,1,0,3540
254,0,63.0,14,23.17,0,755,759,16,0,0.0,13029,43.3,35,0,0,5130
255,0,102.0,26,22.91,0,675,679,11,0,0.0,12670,66.7,18,1,0,3660
256,4,255.0,9,11.73,0,685,689,6,0,0.0,11836,62.3,15,1,0,4170
257,0,32.0,21,24.62,0,715,719,26,0,0.0,20583,25.9,35,0,0,10950
258,4,303.0,9,7.74,0,680,684,9,0,0.0,15306,45.4,24,0,0,9060
259,4,480.0,8,21.86,0,700,704,11,0,0.0,10554,40.3,15,1,0,2970
260,0,460.0,27,25.28,0,690,694,13,0,0.0,33278,87.1,30,1,0,11040
261,4,263.0,0,23.02,0,730,734,12,0,0.0,9993,35.4,24,1,0,8130
262,0,77.0,7,17.5,1,680,684,32,0,0.0,22951,44.1,53,0,0,6120
263,0,49.0,12,30.45,1,660,664,9,0,0.0,34794,86.8,26,0,0,8160
264,0,241.0,7,13.72,0,695,699,9,0,0.0,11707,56.0,23,1,0,5520
265,0,576.0,23,24.5,0,710,714,11,0,0.0,17448,47.8,25,0,0,3270
266,0,5.0,4,32.19,0,695,699,18,0,0.0,31111,54.6,19,0,0,7230
267,0,228.0,24,20.32,0,685,689,5,1,1.0,6352,84.7,15,0,0,6360
268,0,324.0,10,17.55,0,660,664,10,0,0.0,46915,88.4,34,1,0,8340
269,0,526.0,20,15.3,1,690,694,11,0,0.0,43334,85.3,23,0,0,5910
270,3,162.0,2,24.37,0,720,724,11,0,0.0,10321,19.2,16,0,0,4140
271,3,42.0,26,10.58,0,680,684,6,0,0.0,1463,17.2,13,1,0,2610
272,4,19.0,14,12.9,1,670,674,3,0,0.0,13117,70.9,17,0,0,5910
273,0,624.0,27,21.61,0,695,699,12,0,0.0,27088,76.0,17,0,0,6000
274,0,373.0,13,38.01,0,690,694,12,0,0.0,9082,40.7,50,0,0,5850
275,4,412.0,13,17.7,0,680,684,14,1,1.0,13978,36.9,18,1,0,3120
276,4,514.0,13,22.02,0,670,674,10,0,0.0,16273,80.6,20,1,0,4260
277,2,195.0,38,15.67,0,775,779,13,0,0.0,12126,18.0,23,0,0,12630
278,0,428.0,9,32.69,0,680,684,10,0,0.0,7733,57.7,13,0,0,4890
279,0,491.0,30,16.47,3,755,759,16,0,0.0,78528,8.6,44,1,0,18480
280,5,542.0,14,18.95,0,730,734,4,0,0.0,4556,53.6,7,1,0,2310
281,8,276.0,20,12.18,0,670,674,8,1,1.0,9998,47.2,18,0,0,8610
282,0,177.0,26,21.96,1,705,709,14,0,0.0,15917,68.6,40,1,0,5070
283,1,447.0,30,4.05,0,665,669,6,0,0.0,5396,67.4,22,1,0,4770
284,2,69.0,26,18.52,0,725,729,8,1,1.0,1169,9.7,10,1,1,5550
285,4,53.0,19,10.96,0,695,699,14,1,1.0,7980,80.6,15,1,0,8880
286,0,111.0,8,10.1,0,685,689,6,0,0.0,31154,88.3,10,0,0,4410
287,1,134.0,8,4.62,0,800,804,12,0,0.0,8502,8.2,26,0,0,6450
288,0,543.0,13,20.9,1,675,679,15,1,1.0,2428,69.4,18,1,0,7050
289,0,186.0,9,12.41,0,720,724,4,0,0.0,5391,85.6,7,0,0,3420
290,0,19.0,14,33.04,0,715,719,16,0,0.0,10805,33.5,24,0,0,5250
291,0,455.0,13,34.58,0,670,674,18,0,0.0,13759,44.1,24,0,0,5190
292,0,491.0,30,19.86,0,680,684,10,0,0.0,10848,64.2,32,0,0,6810
293,0,511.0,13,10.17,0,800,804,8,0,0.0,5641,12.2,32,0,0,13290
294,0,235.0,8,11.71,0,660,664,8,0,0.0,5484,53.8,14,1,0,5070
295,0,146.0,23,21.09,0,690,694,11,0,0.0,15285,80.4,21,0,0,4710
296,4,162.0,2,29.05,0,665,669,20,0,0.0,29572,78.0,24,1,0,5010
297,0,288.0,13,29.05,0,690,694,20,0,0.0,39467,72.0,48,0,0,5640
298,4,227.0,35,25.41,0,660,664,14,0,0.0,17368,84.3,21,0,0,4260
299,5,31.0,2,5.3,0,660,664,11,1,1.0,8448,51.8,32,1,0,4800
300,0,643.0,45,9.42,0,680,684,11,1,1.0,3743,22.5,13,1,0,2850
301,0,132.0,12,12.23,1,675,679,16,0,0.0,8170,52.7,28,0,0,5580
302,3,2.0,2,10.07,8,690,694,21,0,0.0,15108,39.1,36,0,0,5580
303,3,97.0,12,23.55,0,700,704,6,0,0.0,19711,61.2,9,0,0,2970
304,0,491.0,30,33.39,0,710,714,7,1,1.0,3064,31.3,18,1,0,7230
305,5,21.0,13,7.69,0,780,784,9,0,0.0,4500,9.4,21,1,0,5250
306,0,134.0,8,28.92,0,690,694,11,0,0.0,24176,68.5,22,0,0,6810
307,6,115.0,8,6.8,0,730,734,11,0,0.0,28056,63.5,21,1,0,5880
308,0,4.0,3,10.91,0,715,719,11,0,0.0,13466,67.3,38,1,0,6150
309,0,249.0,36,15.4,0,760,764,12,0,0.0,22594,31.5,17,0,0,10740
310,0,251.0,8,23.41,0,685,689,9,0,0.0,124865,94.8,24,0,0,4230
311,2,749.0,39,3.99,0,745,749,7,0,0.0,4250,15.9,47,0,0,4950
312,0,235.0,8,30.65,0,670,674,7,0,0.0,4924,69.4,10,0,0,2940
