id,loanAmnt,term,interestRate,installment,grade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,y
43,4000,3,23.99,156.92,5,12694.0,10.0,1,91000.0,1,0
44,15000,5,24.84,438.87,5,130.0,4.0,1,50000.0,1,1
45,6500,3,9.49,208.19,2,4544.0,4.0,1,26500.0,1,1
46,14650,5,21.99,404.54,6,43312.0,10.0,0,75000.0,2,0
47,8000,3,6.89,246.62,1,38775.0,9.0,1,50000.0,1,0
48,9500,3,15.61,332.17,4,176447.0,9.0,0,70000.0,1,0
49,16000,3,9.16,509.99,2,5490.0,10.0,0,75000.0,0,0
50,6000,3,10.99,196.41,2,59222.0,2.0,1,65000.0,1,0
51,15000,3,11.44,494.22,2,109.0,1.0,2,94000.0,1,0
52,5000,3,9.75,160.75,2,808.0,2.0,1,20000.0,1,0
53,20000,3,7.89,625.72,1,2247.0,10.0,1,200000.0,1,0
54,25000,3,11.49,824.29,2,252458.0,2.0,1,86500.0,2,0
55,35000,5,18.45,897.37,4,26857.0,10.0,1,130020.0,1,1
56,9600,3,14.65,331.15,3,57125.0,2.0,0,42000.0,0,1
57,14400,3,7.89,450.52,1,26930.0,8.0,0,55000.0,0,0
58,6075,3,14.09,207.9,2,291169.0,2.0,1,30000.0,0,0
59,3000,3,14.46,103.21,3,385.0,0.0,1,25200.0,2,0
60,35000,3,10.64,1139.9,2,283442.0,10.0,0,85000.0,2,0
61,25000,3,6.89,770.68,1,184.0,10.0,0,409000.0,2,0
62,16000,5,15.59,365.53,3,64670.0,8.0,0,85000.0,1,0
63,3000,3,7.9,93.88,1,222245.0,0.0,0,96000.0,1,0
64,6000,3,12.12,199.63,2,228001.0,6.0,0,70000.0,0,0
65,10000,3,15.31,348.18,3,303649.0,5.0,0,32000.0,0,0
66,15000,5,18.99,389.03,5,13.0,3.0,0,57000.0,1,1
67,16000,5,14.16,373.63,3,1027.0,10.0,0,120000.0,2,0
68,24000,5,9.99,509.82,2,49315.0,8.0,1,60000.0,0,1
69,1600,3,14.65,55.2,3,4749.0,4.0,0,40000.0,1,1
70,15000,5,15.99,364.7,3,2039.0,2.0,0,76000.0,1,0
71,15000,5,15.61,361.67,3,4088.0,7.0,0,55000.0,1,0
72,10000,5,21.67,274.32,5,29.0,8.0,2,67000.0,2,1
73,16000,3,11.49,527.55,2,2861.0,10.0,0,340000.0,1,0
74,25000,3,7.97,783.07,1,54.0,0.0,0,100000.0,2,1
75,12000,3,14.33,412.06,3,309962.0,1.0,1,125000.0,0,1
76,18000,5,21.99,497.04,6,46704.0,4.0,1,60000.0,2,0
77,6500,3,9.17,207.22,2,39930.0,2.0,2,22000.0,1,0
78,16000,3,6.99,493.97,1,103122.0,9.0,1,101000.0,0,0
79,30000,3,10.9,980.75,2,97.0,10.0,1,100000.0,1,0
80,15000,3,14.09,513.33,2,292178.0,10.0,0,65000.0,0,0
81,14000,5,17.57,352.25,4,793.0,10.0,0,60000.0,1,0
82,1000,3,11.44,32.95,2,116780.0,10.0,1,55000.0,1,0
83,5000,3,15.31,174.09,3,148910.0,9.0,1,39000.0,1,0
84,40000,3,20.0,1486.55,4,94037.0,3.0,1,112000.0,2,0
85,9000,3,11.44,296.53,2,248.0,10.0,0,55000.0,0,0
86,35000,5,16.29,856.54,3,306565.0,5.0,0,120000.0,2,0
87,15000,3,5.32,451.73,1,1562.0,2.0,0,66000.0,1,0
88,7000,3,11.99,232.47,2,363730.0,10.0,1,55000.0,2,0
89,20000,3,16.24,705.52,3,2364.0,2.0,0,70000.0,2,0
90,5375,3,17.77,193.7,4,223698.0,10.0,1,23000.0,0,0
91,15000,5,18.25,382.95,4,220161.0,10.0,0,50004.0,1,1
92,20000,3,13.99,683.46,3,182720.0,10.0,0,82000.0,0,1
93,15000,3,11.22,492.65,2,5625.0,1.0,0,40000.0,2,1
94,28000,5,13.65,646.45,3,203206.0,0.0,0,74300.0,1,0
95,12125,3,15.61,423.95,4,21644.0,8.0,0,31000.0,1,0
96,25000,3,6.49,766.12,1,4290.0,10.0,0,150000.0,1,0
97,10000,3,12.99,336.9,2,264555.0,0.0,1,47000.0,0,0
98,10000,3,13.99,341.73,3,199.0,4.0,1,35000.0,1,0
99,4200,3,6.19,128.14,1,188251.0,2.0,1,118000.0,0,0
100,17425,3,13.11,588.05,2,311660.0,7.0,0,40000.0,2,0
101,10000,5,23.88,286.99,5,62.0,0.0,0,65000.0,0,0
102,40000,5,12.62,902.37,3,364959.0,6.0,1,180000.0,1,0
103,15000,3,7.59,467.22,1,54.0,0.0,0,96000.0,2,0
104,4750,3,15.59,166.04,4,2477.0,10.0,0,38000.0,0,0
105,7075,3,13.65,240.61,3,236.0,3.0,0,57000.0,2,0
106,18000,5,14.99,428.13,3,199560.0,8.0,1,115000.0,1,0
107,6000,3,10.75,195.73,2,18974.0,8.0,0,87000.0,1,0
108,5600,3,13.66,190.48,3,2795.0,5.0,0,61131.0,1,0
109,23900,3,17.57,858.9,4,54.0,0.0,1,53228.0,2,1
110,16375,3,19.53,604.64,4,184.0,7.0,1,70000.0,1,0
111,10000,3,13.44,339.07,3,54.0,0.0,2,57000.0,1,1
112,20000,5,15.05,476.33,3,1.0,10.0,0,102000.0,1,0
113,5575,3,29.49,235.12,6,42305.0,3.0,1,15500.0,2,1
114,12000,5,26.3,361.42,5,102317.0,1.0,2,52000.0,1,1
115,12000,5,14.46,282.09,3,152595.0,5.0,2,70000.0,0,1
116,15000,5,15.99,364.7,3,54.0,0.0,0,59000.0,0,0
117,6000,3,6.24,183.19,1,54.0,0.0,1,40000.0,1,0
118,21000,3,7.97,657.78,1,153.0,10.0,0,75000.0,0,0
119,2000,3,15.99,70.31,3,15285.0,0.0,1,50960.0,1,0
120,20000,3,9.76,643.1,2,344532.0,4.0,1,97000.0,2,0
121,35000,5,11.39,767.81,2,48.0,10.0,0,245000.0,2,1
122,24350,3,14.49,838.04,3,54.0,0.0,0,68193.36,2,1
123,25000,3,13.53,848.75,2,257018.0,8.0,0,76409.0,2,0
124,9000,3,11.53,296.92,2,125.0,2.0,1,59000.0,1,0
125,15400,3,9.99,496.85,2,18333.0,10.0,1,63000.0,2,0
126,28000,5,12.74,633.37,3,1193.0,5.0,0,182000.0,1,1
127,9750,3,9.99,314.56,2,1466.0,10.0,1,30000.0,1,0
128,35000,3,9.17,1115.77,2,148.0,10.0,0,166000.0,1,0
129,21200,5,10.64,457.15,2,54.0,0.0,0,55000.0,2,1
130,17000,3,13.11,573.7,2,219293.0,2.0,0,64000.0,0,0
131,18000,5,19.99,476.79,5,5088.0,10.0,0,67500.0,1,1
132,21000,3,13.49,712.54,3,46044.0,0.0,0,110000.0,2,1
133,5500,3,15.04,190.77,3,8569.0,2.0,1,23063.57,2,0
134,10000,3,10.15,323.38,2,119441.0,7.0,0,40000.0,2,0
135,13000,3,17.56,467.12,4,283634.0,7.0,1,65000.0,2,0
136,4000,3,6.97,123.46,1,2393.0,3.0,0,53000.0,0,0
137,29850,3,18.25,1082.9,4,221558.0,1.0,1,59700.0,2,0
138,21600,3,13.68,734.89,3,246961.0,5.0,1,120000.0,1,0
139,16000,5,13.99,372.21,3,97921.0,4.0,0,115000.0,1,0
140,4000,3,14.08,136.87,3,8104.0,10.0,2,67000.0,2,0
141,6000,3,14.49,206.5,3,353391.0,2.0,1,25000.0,1,1
142,20000,3,15.61,699.3,4,197.0,3.0,0,60000.0,1,0
143,17325,3,12.49,579.51,2,54.0,0.0,0,39250.0,2,1
144,20825,5,21.67,571.27,5,1188.0,10.0,0,47330.0,1,1
145,5000,3,13.33,169.27,3,56362.0,2.0,0,102000.0,0,0
146,12000,5,19.05,311.62,4,292537.0,1.0,0,52000.0,2,0
147,3025,3,7.97,94.76,1,122264.0,6.0,1,38000.0,1,1
148,7800,3,7.96,244.28,1,12884.0,10.0,1,94000.0,0,0
149,14000,5,17.27,349.98,3,295546.0,10.0,1,42000.0,2,1
150,4875,3,13.33,165.04,3,81476.0,0.0,1,15000.0,0,0
151,14000,3,10.64,455.96,2,5468.0,7.0,0,75000.0,2,0
152,10000,3,12.73,335.65,2,215272.0,10.0,1,100000.0,0,0
153,10000,3,12.49,334.49,2,405.0,10.0,0,100000.0,2,0
154,12000,3,14.59,413.58,4,242740.0,8.0,0,124000.0,0,0
155,28000,5,9.17,583.55,2,78473.0,9.0,2,87500.0,1,0
156,18000,5,11.47,395.6,2,32.0,10.0,1,47000.0,2,1
157,6500,3,8.67,205.71,2,174842.0,8.0,1,34000.0,0,0
158,7750,3,13.68,263.68,3,281045.0,4.0,0,62000.0,2,0
159,35000,5,12.99,796.18,3,405.0,0.0,0,200000.0,2,1
160,13000,5,12.99,295.73,3,200039.0,4.0,0,98000.0,0,0
161,12000,5,18.25,306.36,6,233454.0,5.0,0,105000.0,1,0
162,4450,3,17.14,158.97,4,32.0,10.0,1,48000.0,2,0
163,9000,3,9.99,290.37,2,3632.0,4.0,1,52000.0,1,0
164,8000,3,9.49,256.23,2,38.0,10.0,2,56000.0,1,0
165,8000,3,15.61,279.72,4,62752.0,1.0,1,45000.0,0,0
166,12000,3,7.89,375.43,1,73463.0,7.0,1,52000.0,0,0
167,35000,5,17.57,880.61,4,427.0,10.0,0,150000.0,1,1
168,25000,3,5.32,752.87,1,2861.0,6.0,0,238000.0,1,0
169,10000,3,11.49,329.72,2,429.0,10.0,0,52000.0,1,0
170,10000,3,9.67,321.13,2,176.0,10.0,1,42000.0,1,1
171,17275,3,18.2,626.27,5,8534.0,1.0,1,41184.0,1,1
172,5500,3,11.99,182.66,2,213772.0,5.0,0,45000.0,0,0
173,10000,3,11.67,330.57,2,11200.0,9.0,0,55000.0,1,0
174,9000,5,17.14,224.36,5,234720.0,10.0,1,60000.0,2,1
175,5000,3,11.99,166.05,3,54.0,0.0,0,90000.0,1,0
176,10000,3,8.39,315.17,2,67.0,4.0,2,35000.0,0,0
177,19150,5,16.55,471.31,4,14913.0,10.0,0,55000.0,2,0
178,10000,3,12.74,335.69,3,62.0,0.0,1,120000.0,1,0
179,15000,3,14.49,516.25,3,4972.0,10.0,1,65000.0,0,0
180,15875,5,20.99,429.39,5,12362.0,9.0,1,55000.0,1,0
181,19425,3,14.65,670.05,3,1.0,4.0,1,120000.0,0,0
182,10000,3,8.9,317.54,1,787.0,2.0,1,44097.0,0,0
183,15000,3,5.32,451.73,1,20724.0,1.0,1,45000.0,0,0
184,23450,5,22.74,657.57,5,9561.0,5.0,0,102000.0,2,1
185,24000,3,15.59,838.92,3,358134.0,10.0,0,70000.0,2,1
186,15000,3,12.49,501.74,2,1086.0,0.0,1,53000.0,0,0
187,12000,5,14.46,282.09,3,4026.0,10.0,0,53000.0,1,1
188,20000,5,23.13,565.31,6,955.0,1.0,0,76000.0,0,0
189,20000,3,11.99,664.2,3,62.0,10.0,0,80000.0,0,0
190,25000,5,19.99,662.21,5,52441.0,10.0,2,89000.0,2,0
191,30000,5,12.99,682.44,3,5872.0,2.0,1,117312.0,2,0
192,5000,3,7.49,155.51,1,225927.0,5.0,1,58000.0,2,0
193,4950,3,18.85,181.08,4,270586.0,0.0,1,18000.0,1,0
194,6000,3,7.26,185.98,1,14103.0,4.0,1,84000.0,1,0
195,35000,3,14.09,1197.75,2,307505.0,10.0,1,83000.0,2,0
196,5225,3,14.46,179.75,3,54.0,0.0,1,50000.0,1,0
197,7000,3,11.44,230.64,2,54.0,0.0,2,86000.0,1,0
198,12950,3,6.62,397.62,1,1915.0,8.0,0,128000.0,0,0
199,15000,5,19.99,397.33,5,133649.0,10.0,2,40000.0,0,1
200,24000,3,9.17,765.1,2,1301.0,5.0,0,115000.0,0,0
201,4000,3,13.99,136.7,3,4220.0,2.0,1,30000.0,2,0
202,5000,3,10.99,163.67,2,515.0,10.0,1,42000.0,1,0
203,13000,3,11.49,428.63,2,34.0,4.0,0,41800.0,0,0
204,32000,3,9.99,1032.4,2,62.0,8.0,1,127488.0,2,0
205,25000,5,15.31,598.83,3,348963.0,2.0,0,70000.0,1,1
206,5250,3,17.57,188.67,4,58339.0,10.0,1,48800.0,2,0
207,5100,3,9.93,164.4,2,140264.0,4.0,2,48000.0,2,1
208,9875,3,12.74,331.5,3,38.0,10.0,0,65000.0,1,1
209,2500,3,7.24,77.47,1,254906.0,10.0,0,50000.0,0,0
210,15750,3,19.99,585.25,4,124219.0,3.0,1,37500.0,1,1
211,10300,3,13.59,349.99,3,2328.0,2.0,1,38646.0,2,0
212,14650,3,15.99,514.98,3,144270.0,1.0,0,100000.0,1,0
213,27150,3,12.99,914.67,2,1525.0,7.0,2,76000.0,1,0
214,8000,3,11.47,263.7,2,149516.0,1.0,1,30000.0,1,1
215,5825,3,8.9,184.97,1,336347.0,4.0,0,21000.0,0,0
216,4200,3,8.99,133.54,2,5450.0,4.0,0,40000.0,1,0
217,24000,5,20.5,642.55,5,78868.0,10.0,0,78000.0,1,0
218,14025,5,21.99,387.28,6,57931.0,3.0,1,39000.0,1,1
219,13600,3,7.9,425.55,1,303978.0,5.0,0,58000.0,1,0
220,15000,5,11.47,329.67,2,129216.0,10.0,0,90000.0,1,0
221,11000,3,6.72,338.25,1,113806.0,4.0,1,80000.0,1,0
222,5500,3,14.16,188.41,3,788.0,5.0,1,30082.88,1,0
223,10000,3,15.61,349.65,4,2174.0,5.0,0,100000.0,0,0
224,20875,5,21.67,572.64,5,3267.0,4.0,0,58000.0,1,1
225,8000,3,10.99,261.88,2,54.0,0.0,2,32000.0,2,0
226,21600,3,8.39,680.76,1,11730.0,10.0,0,67000.0,2,0
227,5600,3,13.33,189.58,3,97.0,0.0,1,31000.0,1,0
228,30000,5,23.99,862.87,6,39319.0,6.0,0,130000.0,2,0
229,10000,3,13.33,338.54,3,3458.0,2.0,0,44000.0,2,0
230,9000,3,17.14,321.51,4,101564.0,7.0,1,40000.0,1,1
231,20000,3,6.97,617.27,1,9646.0,10.0,0,83500.0,0,0
232,35000,3,20.49,1309.49,5,330884.0,4.0,1,100000.0,1,0
233,8000,3,7.97,250.59,1,80.0,2.0,1,85000.0,1,0
234,4000,3,19.97,148.6,4,857.0,5.0,0,150000.0,2,0
235,7200,3,10.49,233.99,2,148.0,9.0,1,56000.0,0,0
236,15000,5,18.99,389.03,4,2888.0,5.0,2,132000.0,0,1
237,4800,3,14.09,164.27,2,334176.0,10.0,1,30000.0,1,0
238,6600,3,14.49,227.15,3,18350.0,0.0,1,19656.0,1,0
239,12000,3,12.49,401.39,2,1391.0,10.0,1,50000.0,0,0
240,15000,3,12.74,503.54,3,2750.0,10.0,1,38000.0,1,0
241,8400,3,11.49,276.96,2,5679.0,7.0,2,72000.0,0,0
242,6400,3,7.89,200.23,1,36559.0,3.0,1,100000.0,1,0
243,20000,5,23.28,567.04,6,12247.0,10.0,0,100000.0,1,0
244,27325,5,14.99,649.92,3,248.0,5.0,0,80000.0,1,1
245,20000,3,11.44,658.95,2,412.0,10.0,0,77000.0,1,0
246,3825,3,25.83,153.77,7,188567.0,2.0,2,13000.0,0,0
247,21000,5,19.05,545.33,4,219685.0,1.0,2,80000.0,2,1
248,14375,3,11.44,473.62,2,172952.0,9.0,0,50000.0,0,0
249,5000,3,16.59,177.25,4,206123.0,1.0,1,19000.0,1,0
250,23000,3,5.32,692.64,1,134815.0,2.0,1,230000.0,1,0
251,25000,3,12.49,836.23,2,9.0,1.0,1,87500.0,1,0
252,1200,3,10.49,39.0,2,65678.0,7.0,0,75000.0,1,0
253,29400,5,27.79,911.68,6,22358.0,6.0,2,70000.0,2,1
254,18400,5,11.44,404.11,2,4129.0,8.0,0,110000.0,0,0
255,15275,5,27.88,474.5,7,97.0,0.0,1,57000.0,1,0
256,4000,3,11.39,131.7,2,140401.0,5.0,2,69700.0,1,0
257,16100,3,16.99,573.93,4,54.0,0.0,2,35000.0,0,0
258,12000,3,11.67,396.69,2,38.0,10.0,0,71741.0,1,0
259,10000,3,11.49,329.72,2,2973.0,6.0,0,38000.0,2,0
260,18000,3,18.92,659.09,4,206471.0,10.0,0,80000.0,1,0
261,13425,3,8.18,421.81,2,54.0,0.0,1,28000.0,2,0
262,17000,3,9.8,546.95,2,13.0,4.0,0,135000.0,1,0
263,8000,3,12.62,268.09,3,6136.0,6.0,0,65000.0,0,0
264,10000,3,10.15,323.38,2,720.0,10.0,0,36984.0,1,0
265,10000,3,8.49,315.63,2,1086.0,2.0,0,55000.0,0,0
266,15150,5,14.33,355.12,3,21571.0,10.0,0,50000.0,0,1
267,10000,5,30.79,328.41,7,46795.0,10.0,0,70000.0,1,0
268,35000,3,22.95,1353.93,6,328367.0,4.0,1,92000.0,1,0
269,35000,5,16.49,860.28,4,62.0,10.0,0,160000.0,2,0
270,20000,3,7.35,620.75,1,97.0,10.0,2,145000.0,1,0
271,5500,3,12.73,184.62,3,241640.0,2.0,1,62472.0,0,0
272,9000,3,11.49,296.75,2,9135.0,4.0,1,54500.0,2,0
273,6000,3,11.98,199.23,2,385.0,4.0,0,48193.0,1,0
274,6000,3,13.99,205.04,3,1408.0,0.0,0,40000.0,2,0
275,20000,3,11.53,659.81,2,98946.0,7.0,0,55000.0,1,0
276,15000,5,19.19,390.68,5,11281.0,8.0,1,46000.0,0,1
277,8000,3,7.07,247.28,1,3489.0,10.0,2,79000.0,0,0
278,5700,3,20.49,213.26,5,95899.0,10.0,2,34000.0,1,0
279,28000,3,8.24,880.53,2,5810.0,10.0,0,162000.0,0,0
280,8000,3,9.99,258.1,2,226574.0,0.0,1,53052.0,1,0
281,6000,3,8.39,189.1,2,482.0,10.0,1,100000.0,0,0
282,28000,3,14.09,958.2,2,324857.0,10.0,0,100000.0,1,1
283,35000,5,23.33,993.32,6,345238.0,10.0,1,250000.0,1,0
284,15000,3,14.08,513.25,3,54.0,0.0,0,26952.0,0,0
285,12500,3,11.14,410.07,2,321734.0,1.0,0,90000.0,1,0
286,20000,5,15.99,486.26,3,252304.0,3.0,0,82000.0,2,0
287,6000,3,6.39,183.6,1,55.0,5.0,0,125000.0,2,0
288,3500,3,13.99,119.61,3,32827.0,1.0,1,36000.0,1,0
289,8000,3,7.26,247.97,1,564.0,2.0,1,79000.0,2,0
290,13400,5,17.86,339.26,4,24334.0,10.0,2,45000.0,1,1
291,20425,3,30.89,877.06,7,120553.0,10.0,0,65000.0,2,1
292,15000,3,10.42,486.98,2,112581.0,10.0,1,86000.0,0,0
293,16000,3,5.32,481.84,1,130915.0,7.0,2,65000.0,0,1
294,5000,3,12.49,167.25,2,3239.0,10.0,0,62000.0,1,0
295,15000,5,20.89,404.88,4,4515.0,6.0,0,54000.0,1,0
296,26900,3,17.86,970.62,4,4026.0,4.0,2,87000.0,2,0
297,35000,3,13.33,1184.86,3,346.0,10.0,1,207000.0,2,0
298,9000,3,16.29,317.71,3,54.0,6.0,0,69000.0,2,1
299,18725,3,17.86,675.64,4,20155.0,5.0,2,62000.0,1,0
300,7000,3,16.55,248.01,4,13388.0,9.0,1,53000.0,2,0
301,24000,5,15.99,583.51,3,731.0,0.0,0,122400.0,1,1
302,8000,3,11.39,263.39,2,1870.0,10.0,0,80000.0,1,0
303,20075,3,18.99,735.77,4,7394.0,5.0,1,40164.8,1,1
304,5000,3,11.67,165.29,2,54.0,0.0,1,22000.0,2,0
305,14400,3,5.79,436.71,1,219198.0,0.0,0,145000.0,1,0
306,9600,3,9.75,308.64,2,152541.0,5.0,1,50000.0,1,1
307,28000,5,16.4,686.88,5,232977.0,10.0,1,275000.0,2,1
308,11325,3,6.49,347.05,1,439.0,10.0,0,101590.0,0,0
309,27000,5,10.99,586.92,2,185920.0,10.0,2,128000.0,1,0
310,21000,3,28.72,876.83,6,2121.0,9.0,0,245000.0,1,0
311,10000,3,6.89,308.27,1,412.0,10.0,0,140000.0,1,0
312,6000,3,13.33,203.12,3,96331.0,3.0,1,20160.0,1,0
313,6000,3,10.42,194.79,2,120435.0,3.0,1,40000.0,1,0
314,12375,3,7.99,387.74,1,896.0,0.0,1,38000.0,0,0
315,6000,3,10.42,194.79,2,9579.0,6.0,1,52150.0,1,0
316,15000,3,7.89,469.29,1,103.0,6.0,0,64000.0,2,0
317,12000,5,15.31,287.44,3,497.0,5.0,1,64800.0,0,0
318,2700,3,6.91,83.26,1,235203.0,0.0,1,31200.0,0,0
319,30000,5,16.99,745.42,4,533.0,8.0,0,70000.0,1,0
320,3125,3,19.99,116.13,5,3128.0,8.0,1,68900.0,1,1
321,16000,5,15.61,385.79,4,162.0,10.0,0,60000.0,1,1
322,20000,3,10.99,654.68,2,985.0,7.0,0,85000.0,1,0
323,9000,3,10.99,294.61,2,59327.0,0.0,2,83000.0,0,0
324,35000,5,23.99,1006.68,6,754.0,10.0,1,195000.0,2,0
325,30000,3,11.49,989.14,2,36833.0,0.0,1,120000.0,1,0
326,20000,3,17.57,718.75,4,8967.0,5.0,0,60000.0,2,0
327,20000,3,12.29,667.06,3,1929.0,9.0,0,80000.0,0,0
328,5000,3,10.42,162.33,2,368545.0,4.0,0,36000.0,0,0
329,8000,3,5.32,240.92,1,148890.0,2.0,0,52000.0,1,0
330,24800,3,8.18,779.21,2,62.0,7.0,0,112500.0,1,0
331,6000,3,6.03,182.62,1,289730.0,10.0,0,40000.0,0,0
332,40000,3,10.42,1298.59,2,6425.0,2.0,2,104000.0,1,0
333,27125,5,17.27,678.08,4,169692.0,1.0,0,75000.0,2,1
334,8000,3,10.99,261.88,2,807.0,4.0,1,48000.0,0,0
335,16000,3,12.49,535.19,2,368.0,2.0,1,47000.0,0,0
336,35000,5,18.94,906.77,4,1777.0,4.0,0,253300.0,1,0
337,15125,5,12.05,336.83,3,427.0,7.0,1,35000.0,1,1
338,8600,3,15.31,299.43,3,67.0,9.0,0,63000.0,0,0
339,7200,3,8.59,227.59,1,2763.0,4.0,0,82000.0,1,0
340,17500,3,8.49,552.36,2,118.0,9.0,0,66000.0,0,0
341,22900,3,12.99,771.49,3,184.0,10.0,0,60000.0,1,0
342,35000,3,9.99,1129.19,2,79017.0,10.0,0,84498.0,2,0
343,10000,5,15.04,238.11,3,21565.0,10.0,2,54000.0,2,0
344,4000,3,7.97,125.3,1,2713.0,2.0,2,72000.0,0,0
345,15000,5,21.99,414.2,5,206183.0,10.0,0,57000.0,2,0
346,8875,3,18.54,323.27,5,10740.0,3.0,1,55000.0,2,0
347,9000,3,9.17,286.92,2,2539.0,10.0,2,125000.0,1,0
348,23550,5,20.49,630.37,5,1915.0,10.0,0,59000.0,1,0
349,14400,3,9.76,463.03,2,1690.0,0.0,0,65000.0,1,0
350,10000,5,14.08,233.1,3,723.0,10.0,0,90000.0,1,0
351,15500,3,14.99,537.24,3,21532.0,5.0,1,92000.0,2,1
352,2000,3,12.29,66.71,3,2548.0,5.0,1,34000.0,1,0
353,5000,3,10.99,163.67,2,1666.0,10.0,0,100000.0,2,0
354,3000,3,12.99,101.07,3,32.0,0.0,2,50000.0,1,0
355,14000,3,7.97,438.52,1,7941.0,10.0,0,36000.0,2,0
356,6000,3,11.44,197.69,2,250801.0,3.0,1,50000.0,2,1
357,5000,3,10.99,163.67,2,3281.0,10.0,1,45000.0,1,0
358,20700,3,11.99,687.44,3,132905.0,10.0,0,54000.0,1,0
359,20525,5,20.75,552.39,5,131982.0,10.0,1,46684.0,1,0
360,15000,3,7.89,469.29,1,55.0,10.0,0,95000.0,0,0
361,12000,3,16.63,425.64,5,37687.0,3.0,5,96000.0,0,0
362,9000,3,14.33,309.05,3,243325.0,4.0,0,55000.0,0,0
363,6000,3,11.99,199.26,3,38333.0,9.0,1,55000.0,1,0
364,25000,3,15.49,872.65,3,184.0,10.0,0,225000.0,1,1
365,15000,3,18.99,549.77,4,199.0,8.0,1,75000.0,2,1
366,16800,3,17.99,607.28,4,1061.0,4.0,2,47000.0,2,0
367,24000,5,12.39,538.61,3,106639.0,10.0,2,62000.0,1,0
368,5000,3,6.72,153.75,1,54.0,0.0,2,26808.0,1,0
369,7000,3,8.18,219.94,2,812.0,10.0,0,45000.0,1,0
370,6000,3,7.89,187.72,1,127587.0,10.0,0,60000.0,1,0
371,24000,5,11.53,528.19,2,87627.0,10.0,0,64000.0,1,1
372,9925,3,18.92,363.41,4,66885.0,1.0,1,26500.0,1,1
373,15250,3,13.11,514.65,2,348617.0,3.0,1,30500.0,2,0
374,32000,5,17.14,797.7,5,231375.0,0.0,0,170000.0,1,0
375,6600,3,7.14,204.22,1,238986.0,3.0,1,52000.0,0,0
376,9450,3,17.57,339.61,4,21.0,0.0,1,27889.0,2,0
